Top_counterScore,Jug_counterScore,Mid_counterScore,Bot_counterScore,Uti_counterScore,Team1_Top_attackScore,Team1_Jug_attackScore,Team1_Mid_attackScore,Team1_Bot_attackScore,Team1_Uti_attackScore,Team2_Top_attackScore,Team2_Jug_attackScore,Team2_Mid_attackScore,Team2_Bot_attackScore,Team2_Uti_attackScore,Team1_Top_defenseScore,Team1_Jug_defenseScore,Team1_Mid_defenseScore,Team1_Bot_defenseScore,Team1_Uti_defenseScore,Team2_Top_defenseScore,Team2_Jug_defenseScore,Team2_Mid_defenseScore,Team2_Bot_defenseScore,Team2_Uti_defenseScore,Team1_Top_winRates,Team1_Jug_winRates,Team1_Mid_winRates,Team1_Bot_winRates,Team1_Uti_winRates,Team2_Top_winRates,Team2_Jug_winRates,Team2_Mid_winRates,Team2_Bot_winRates,Team2_Uti_winRates,Team1_comboCounts,Team2_comboCounts,Team1_Top_controlScore,Team1_Jug_controlScore,Team1_Mid_controlScore,Team1_Bot_controlScore,Team1_Uti_controlScore,Team2_Top_controlScore,Team2_Jug_controlScore,Team2_Mid_controlScore,Team2_Bot_controlScore,Team2_Uti_controlScore,TeamVictory
0.0,584.516129032258,0.0,-458.5434782608696,132.46153846153845,280.7,479.37,552.22,398.09,171.68,651.16,417.87,516.89,478.68,200.48,425.38,730.85,762.73,437.16,368.84,660.02,852.11,645.05,519.75,440.22,40.55,54.82,44.31,46.27,47.71,40.55,49.11,50.88,48.59,49.01,0.0,0.0,0.8327,0.3422,0.7372,1.7157,1.6476,0.5989,0.3544,0.7271,0.2799,0.9728,200
633.65625,-1754.6315789473683,1396.9666666666667,-963.6491228070176,-740.3191489361702,497.03,502.65,466.62,556.41,303.56,537.38,433.31,459.23,505.64,373.88,754.04,855.84,516.28,592.42,530.06,668.38,914.74,603.85,478.03,444.15,49.26,56.48,51.08,51.48,62.02,46.76,44.26,40.48,43.84,53.44,0.0,1.0,0.3157,0.1449,0.7717,0.1372,0.8095,0.3488,0.7891,1.0993,0.1244,0.9365,200
0.0,532.5,-330.0,-679.6666666666666,505.015625,541.26,427.98,372.79,408.34,303.56,453.44,463.23,511.59,526.39,278.14,672.31,850.87,533.88,475.57,530.06,757.14,847.45,523.9,524.93,457.08,50.38,50.1,50.68,60.78,62.02,40.55,40.79,48.7,55.1,49.77,0.0,0.0,1.0528,0.6571,1.3551,0.81,0.8095,0.2073,0.2196,0.4683,0.3548,0.899,100
0.0,-2366.837837837838,348.3888888888889,232.9253731343284,-740.3191489361702,469.56,502.65,489.38,449.29,303.56,612.05,384.91,558.91,521.73,373.88,775.45,855.84,626.21,485.89,530.06,576.31,781.74,789.95,527.27,444.15,53.32,56.48,51.41,45.69,62.02,40.55,47.85,55.23,49.52,53.44,0.0,0.0,1.1045,0.1449,0.666,0.0913,0.8095,0.3441,0.5082,0.928,0.0862,0.9365,100
633.65625,-203.79310344827587,0.0,0.0,329.77777777777777,497.03,384.91,651.16,564.03,282.57,537.38,344.15,458.65,251.09,239.92,754.04,781.74,660.02,564.35,581.82,668.38,888.88,609.26,435.65,273.88,49.26,47.85,53.33,55.49,54.19,46.76,42.39,52.34,40.26,45.16,0.0,0.0,0.3157,0.5082,0.5989,0.496,1.4034,0.3488,1.0243,0.6712,0.465,0.6237,100
0.0,-1100.6,0.0,-597.0528301886792,0.0,537.38,393.16,651.16,505.64,282.57,359.16,302.85,458.65,449.29,242.87,668.38,909.86,660.02,478.03,581.82,953.59,697.25,609.26,485.89,501.28,46.76,43.14,53.33,43.84,54.19,43.48,53.33,52.34,45.69,51.98,0.0,0.0,0.3488,0.567,0.5989,0.1244,1.4034,1.4015,1.597,0.6712,0.0913,1.3264,200
-57.35135135135136,-362.32,0.0,-1745.8,-132.54901960784315,541.26,431.2,359.16,505.64,251.09,489.64,417.87,385.22,474.82,239.92,672.31,824.99,953.59,478.03,435.65,798.81,852.11,583.0,371.53,273.88,50.38,58.1,44.31,43.84,45.64,55.59,49.11,53.09,40.26,45.16,0.0,0.0,1.0528,0.6905,1.4015,0.1244,0.465,0.6922,0.3544,1.2286,0.9556,0.6237,100
0.0,284.2360248447205,135.7037037037037,-1969.123595505618,27.346153846153847,425.37,427.98,458.65,478.68,251.09,508.1,396.17,460.0,564.03,278.14,541.96,850.87,609.26,519.75,435.65,650.2,859.75,586.55,564.35,457.08,48.46,50.1,52.34,48.59,45.64,45.53,45.9,53.9,55.49,49.77,0.0,0.0,1.0403,0.6571,0.6712,0.2799,0.465,0.0613,0.5652,0.7818,0.496,0.899,100
0.0,81.63793103448276,91.22857142857144,0.0,0.0,549.02,427.98,492.81,477.66,385.22,511.59,459.78,466.62,460.0,222.21,554.26,850.87,509.13,407.62,583.0,523.9,695.98,516.28,586.55,493.17,42.12,50.1,40.79,49.22,32.63,40.26,46.34,51.08,59.47,47.99,0.0,0.0,0.3259,0.6571,0.0833,0.5937,1.2286,0.4683,0.6875,0.7717,0.7818,1.9354,100
0.0,-361.3333333333333,0.0,104.64864864864865,804.1333333333333,487.8,384.91,427.57,478.68,280.7,508.1,335.15,489.38,449.29,214.18,664.78,781.74,550.75,519.75,425.38,650.2,876.64,626.21,485.89,376.37,42.48,47.85,56.99,48.59,43.28,45.53,54.06,51.41,45.69,56.97,0.0,0.0,1.5233,0.5082,1.4354,0.2799,0.8327,0.0613,1.2169,0.666,0.0913,1.2132,200
-282.42857142857144,223.46296296296296,0.0,1458.758389261745,-2.2666666666666666,537.38,384.91,465.15,564.03,278.14,503.1,396.7,472.56,501.32,214.22,668.38,781.74,574.57,564.35,457.08,465.82,783.23,476.64,532.97,560.41,46.76,47.85,47.69,55.49,49.77,43.88,52.87,45.75,44.14,53.65,0.0,0.0,0.3488,0.5082,1.0823,0.496,0.899,1.2789,0.9065,0.8053,0.5861,1.1193,100
0.0,-913.5357142857144,-1101.0,-1969.123595505618,-448.8888888888889,520.69,384.91,439.75,564.03,222.21,558.91,427.98,511.59,478.68,457.47,518.69,781.74,601.26,564.35,493.17,789.95,850.87,523.9,519.75,729.15,53.06,47.85,48.3,55.49,47.99,51.9,50.1,48.7,48.59,47.06,1.0,0.0,0.7803,0.5082,0.992,0.496,1.9354,0.928,0.6571,0.4683,0.2799,0.8596,200
0.0,385.6666666666667,0.0,296.0689655172414,-796.375,491.31,428.86,449.29,489.9,300.64,487.3,431.2,372.79,556.41,373.88,572.96,795.69,485.89,483.6,452.71,732.02,824.99,533.88,592.42,444.15,58.91,49.46,44.31,54.16,47.9,57.99,58.1,50.68,51.48,53.44,0.0,0.0,0.7336,0.6172,0.0913,0.5384,1.8287,0.124,0.6905,1.3551,0.1372,0.9365,200
-3194.4,-720.2142857142857,-441.4,-573.0,-58.23893805309734,472.78,469.56,479.53,564.03,239.92,457.47,396.17,434.54,556.41,222.21,855.81,775.45,585.06,564.35,273.88,729.15,859.75,372.3,592.42,493.17,54.7,56.07,53.08,55.49,45.16,52.89,45.9,54.88,51.48,47.99,0.0,1.0,0.5369,1.1045,0.2324,0.496,0.6237,0.8596,0.5652,1.39,0.1372,1.9354,200
55.69767441860465,-416.8767123287671,-244.0,1458.758389261745,-502.9866666666667,487.12,459.78,452.37,564.03,222.21,537.38,431.2,470.57,501.32,278.14,727.68,695.98,522.99,564.35,493.17,668.38,824.99,541.82,532.97,457.08,52.87,46.34,57.42,55.49,47.99,46.76,58.1,47.26,44.14,49.77,0.0,0.0,1.3279,0.6875,1.3515,0.496,1.9354,0.3488,0.6905,0.6289,0.5861,0.899,100
0.0,-879.2045454545455,-712.6315789473684,-591.986301369863,-455.4358974358975,509.96,472.78,516.89,505.64,243.59,410.39,427.98,492.81,521.73,303.56,543.94,855.81,645.05,478.03,387.34,699.28,850.87,509.13,527.27,530.06,52.0,52.52,50.88,43.84,48.9,45.8,50.1,40.79,49.52,62.02,0.0,0.0,0.9887,0.5369,0.7271,0.1244,0.959,1.2948,0.6571,0.0833,0.0862,0.8095,200
0.0,301.8888888888889,0.0,-7.130434782608695,132.55,505.64,335.15,408.34,449.29,209.71,523.97,396.7,477.66,526.39,239.92,478.03,876.64,475.57,485.89,487.52,726.07,783.23,407.62,524.93,273.88,40.55,54.06,46.83,45.69,44.28,51.59,52.87,50.0,55.1,45.16,0.0,1.0,0.1244,1.2169,0.81,0.0913,1.2612,0.5041,0.9065,0.5937,0.3548,0.6237,200
55.69767441860465,744.1395348837209,-425.2380952380952,-1861.111111111111,-215.20833333333331,487.12,459.78,452.37,556.41,222.21,537.38,459.23,516.89,468.03,169.23,727.68,695.98,522.99,592.42,493.17,668.38,603.85,645.05,480.09,502.65,52.87,46.34,57.42,51.48,47.99,46.76,48.12,50.88,44.37,46.07,1.0,0.0,1.3279,0.6875,1.3515,0.1372,1.9354,0.3488,1.0993,0.7271,0.8545,1.49,100
0.0,300.1764705882353,0.0,1649.40625,-89.25675675675676,364.54,427.98,489.64,612.05,278.14,425.37,453.44,474.82,489.9,243.59,798.32,850.87,798.81,576.31,457.08,541.96,757.14,371.53,483.6,387.34,46.88,50.1,54.9,56.6,49.77,48.46,41.55,48.3,54.16,48.9,0.0,0.0,0.5021,0.6571,0.6922,0.3441,0.899,1.0403,0.2073,0.9556,0.5384,0.959,200
319.25925925925924,-809.7272727272727,-305.6428571428572,616.0,0.0,497.03,367.57,458.65,410.72,282.57,477.52,459.78,558.91,450.75,251.09,754.04,879.69,609.26,454.1,581.82,769.69,695.98,789.95,490.01,435.65,49.26,48.55,52.34,50.76,54.19,38.71,46.34,55.23,40.26,45.64,0.0,0.0,0.3157,0.7627,0.6712,0.8977,1.4034,0.2269,0.6875,0.928,1.0387,0.465,100
1159.142857142857,-1034.2439024390244,1130.72131147541,-212.22222222222223,132.3272727272727,420.11,427.98,558.91,526.39,239.92,455.78,479.37,460.0,485.34,171.68,602.02,850.87,789.95,524.93,273.88,684.53,730.85,586.55,465.65,368.84,46.85,50.1,55.23,55.1,45.16,56.74,54.82,53.9,47.94,47.71,0.0,0.0,0.9363,0.6571,0.928,0.3548,0.6237,1.1899,0.3422,0.7818,0.5863,1.6476,200
-958.0,223.46296296296296,-643.1764705882352,717.7872340425532,390.3043478260869,552.22,384.91,558.91,526.39,239.92,469.56,396.7,487.8,501.32,214.22,762.73,781.74,789.95,524.93,273.88,775.45,783.23,664.78,532.97,560.41,53.63,47.85,55.23,55.1,45.16,53.32,52.87,47.99,44.14,53.65,0.0,0.0,0.7372,0.5082,0.928,0.3548,0.6237,1.1045,0.9065,1.5233,0.5861,1.1193,100
138.45454545454547,1038.76,0.0,0.0,534.125,461.16,472.78,530.61,511.59,242.87,565.44,396.17,425.37,505.64,398.09,667.9,855.81,475.85,523.9,501.28,514.35,859.75,541.96,478.03,437.16,48.8,52.52,56.78,40.26,51.98,52.8,45.9,44.31,43.84,42.97,0.0,0.0,0.6737,0.5369,1.113,0.4683,1.3264,0.0734,0.5652,1.0403,0.1244,1.7157,100
0.0,-432.9375,0.0,-846.75,132.3272727272727,503.1,393.16,509.96,398.09,239.92,487.8,379.02,489.38,410.72,171.68,465.82,909.86,543.94,437.16,273.88,664.78,669.5,626.21,454.1,368.84,43.88,43.14,50.29,46.27,45.16,42.48,42.05,51.41,50.76,47.71,0.0,0.0,1.2789,0.567,0.9887,1.7157,0.6237,1.5233,0.9871,0.666,0.8977,1.6476,100
0.0,223.46296296296296,-88.66666666666667,752.3611111111111,91.38823529411764,472.78,384.91,394.25,485.34,243.59,384.33,396.7,522.32,478.68,239.92,855.81,781.74,433.0,465.65,387.34,665.97,783.23,599.09,519.75,273.88,54.7,47.85,43.94,47.94,48.9,49.19,52.87,53.32,48.59,45.16,0.0,0.0,0.5369,0.5082,0.8828,0.5863,0.959,1.081,0.9065,0.05,0.2799,0.6237,100
-406.7,-268.0,-244.0,-133.51724137931035,-1412.5652173913045,552.22,402.23,452.37,477.06,251.09,395.45,370.82,470.57,556.41,303.56,762.73,749.71,522.99,484.41,435.65,597.65,789.14,541.82,592.42,530.06,53.63,50.26,57.42,50.07,45.64,51.24,55.46,47.26,51.48,62.02,0.0,0.0,0.7372,0.3733,1.3515,0.5485,0.465,0.2573,0.8041,0.6289,0.1372,0.8095,200
0.0,0.0,-94.66666666666669,0.0,0.0,384.33,335.15,565.44,502.23,286.8,298.58,453.96,452.37,505.64,494.54,665.97,876.64,514.35,363.77,446.05,653.75,774.96,522.99,478.03,452.29,49.19,54.06,57.55,40.26,52.86,42.55,65.68,57.42,43.84,48.57,0.0,0.0,1.081,1.2169,0.0734,0.7977,1.5989,1.2287,0.7876,1.3515,0.1244,0.7095,100
0.0,883.0,0.0,-963.6491228070176,-58.23893805309734,509.96,453.96,460.0,556.41,222.21,481.22,472.78,552.22,505.64,239.92,543.94,774.96,586.55,592.42,493.17,677.45,855.81,762.73,478.03,273.88,52.0,65.68,53.9,51.48,47.99,51.42,52.52,44.31,43.84,45.16,1.0,1.0,0.9887,0.7876,0.7818,0.1372,1.9354,0.5722,0.5369,0.7372,0.1244,0.6237,200
0.0,-536.8695652173913,744.3333333333334,196.94897959183675,807.0,565.44,344.15,522.32,564.03,214.22,430.68,479.37,508.1,612.05,209.71,514.35,888.88,599.09,564.35,560.41,652.28,730.85,650.2,576.31,487.52,52.8,42.39,53.32,55.49,53.65,51.57,54.82,49.28,56.6,44.28,1.0,0.0,0.0734,1.0243,0.05,0.496,1.1193,0.6772,0.3422,0.0613,0.3441,1.2612,100
-676.9166666666666,-279.2307692307692,-153.375,804.5714285714286,190.89622641509436,430.68,396.7,479.53,651.16,373.88,537.38,370.82,470.57,477.06,239.92,652.28,783.23,585.06,660.02,444.15,668.38,789.14,541.82,484.41,273.88,51.57,52.87,53.08,60.81,53.44,46.76,55.46,47.26,50.07,45.16,0.0,0.0,0.6772,0.9065,0.2324,0.5989,0.9365,0.3488,0.8041,0.6289,0.5485,0.6237,100
