id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
15,Sivir,48.23,100.0,0.0,42.86,47.93,100.0,1.0,1.0,0.0,0.0,7.0,3.0,386.0,185.0,2.0,2.0,396.0,191.0
16,Soraka,50.93,51.43,0.0,48.78,46.15,51.1,35.0,18.0,0.0,0.0,41.0,20.0,52.0,24.0,1857.0,949.0,1985.0,1011.0
17,Teemo,50.09,50.33,52.17,53.66,40.0,38.89,461.0,232.0,23.0,12.0,41.0,22.0,10.0,4.0,18.0,7.0,553.0,277.0
18,Tristana,47.18,57.89,42.86,47.26,47.0,0.0,19.0,11.0,7.0,3.0,237.0,112.0,1068.0,502.0,0.0,0.0,1331.0,628.0
19,Warwick,52.34,52.03,53.14,45.45,0.0,50.0,296.0,154.0,414.0,220.0,11.0,5.0,3.0,0.0,2.0,1.0,726.0,380.0
20,Nunu & Willump,50.54,42.86,51.12,47.92,0.0,30.77,7.0,3.0,849.0,434.0,48.0,23.0,1.0,0.0,13.0,4.0,918.0,464.0
21,Miss Fortune,49.04,100.0,0.0,33.33,49.33,42.47,2.0,2.0,0.0,0.0,9.0,3.0,1794.0,885.0,73.0,31.0,1878.0,921.0
22,Ashe,48.53,50.0,0.0,44.12,49.85,47.88,26.0,13.0,2.0,0.0,34.0,15.0,1308.0,652.0,2337.0,1119.0,3707.0,1799.0
23,Tryndamere,46.61,46.35,22.22,50.6,0.0,0.0,809.0,375.0,9.0,2.0,166.0,84.0,4.0,0.0,1.0,0.0,989.0,461.0
24,Jax,52.07,52.99,36.73,32.0,33.33,0.0,1536.0,814.0,49.0,18.0,25.0,8.0,3.0,1.0,2.0,0.0,1615.0,841.0
25,Morgana,48.35,72.73,47.37,51.61,55.56,47.85,11.0,8.0,38.0,18.0,62.0,32.0,9.0,5.0,1001.0,479.0,1121.0,542.0
26,Zilean,51.37,44.93,0.0,50.39,57.89,52.01,69.0,31.0,0.0,0.0,383.0,193.0,19.0,11.0,1094.0,569.0,1565.0,804.0
27,Singed,53.44,54.4,21.05,56.07,66.67,45.71,546.0,297.0,19.0,4.0,107.0,60.0,6.0,4.0,35.0,16.0,713.0,381.0
28,Evelynn,48.82,0.0,48.9,0.0,0.0,0.0,0.0,0.0,679.0,332.0,0.0,0.0,0.0,0.0,1.0,0.0,680.0,332.0
29,Twitch,51.32,44.44,45.57,68.52,51.5,39.08,9.0,4.0,79.0,36.0,54.0,37.0,3493.0,1799.0,87.0,34.0,3722.0,1910.0
30,Karthus,50.51,52.17,50.36,53.55,48.93,62.07,23.0,12.0,832.0,419.0,183.0,98.0,513.0,251.0,29.0,18.0,1580.0,798.0
31,Cho'Gath,51.87,51.39,52.63,51.41,62.5,50.0,395.0,203.0,19.0,10.0,142.0,73.0,24.0,15.0,8.0,4.0,588.0,305.0
32,Amumu,50.87,33.33,52.57,100.0,25.0,49.76,6.0,2.0,506.0,266.0,1.0,1.0,4.0,1.0,627.0,312.0,1144.0,582.0
33,Rammus,54.6,47.37,55.0,57.14,0.0,20.0,19.0,9.0,740.0,407.0,7.0,4.0,0.0,0.0,5.0,1.0,771.0,421.0
34,Anivia,49.04,41.82,0.0,51.08,34.62,39.66,55.0,23.0,0.0,0.0,646.0,330.0,26.0,9.0,58.0,23.0,785.0,385.0
35,Shaco,51.08,63.33,50.73,28.57,50.0,53.51,30.0,19.0,956.0,485.0,14.0,4.0,2.0,1.0,114.0,61.0,1116.0,570.0
36,Dr. Mundo,45.0,46.23,41.18,28.57,0.0,20.0,504.0,233.0,34.0,14.0,14.0,4.0,3.0,0.0,5.0,1.0,560.0,252.0
37,Sona,51.33,100.0,0.0,25.0,70.21,50.65,1.0,1.0,0.0,0.0,8.0,2.0,47.0,33.0,1072.0,543.0,1128.0,579.0
38,Kassadin,56.14,50.0,0.0,56.21,0.0,100.0,22.0,11.0,0.0,0.0,1418.0,797.0,0.0,0.0,1.0,1.0,1441.0,809.0
