champion1,id1,champion2,id2,combo
Galio,3,Ahri,103,0
Galio,3,Graves,104,0
Galio,3,Fizz,105,0
Galio,3,Volibear,106,0
Galio,3,Rengar,107,0
Galio,3,Varus,110,0
Galio,3,Nautilus,111,0
Galio,3,Viktor,112,0
Galio,3,Sejuani,113,0
Galio,3,Fiora,114,0
Galio,3,Ziggs,115,0
Galio,3,Lulu,117,0
Galio,3,Draven,119,0
Galio,3,Hecarim,120,0
Galio,3,Kha'Zix,121,0
Galio,3,Darius,122,0
Galio,3,Jayce,126,0
Galio,3,Lissandra,127,0
Galio,3,Diana,131,0
Galio,3,Quinn,133,0
Galio,3,Syndra,134,0
Galio,3,Aurelion Sol,136,0
Galio,3,Kayn,141,0
Galio,3,Zoe,142,0
Galio,3,Zyra,143,0
Galio,3,Kai'Sa,145,0
Galio,3,Seraphine,147,0
Galio,3,Gnar,150,0
Galio,3,Zac,154,0
Galio,3,Yasuo,157,0
Galio,3,Vel'Koz,161,0
Galio,3,Taliyah,163,0
Galio,3,Camille,164,0
Galio,3,Akshan,166,0
Galio,3,Bel'Veth,200,0
Galio,3,Braum,201,0
Galio,3,Jhin,202,0
Galio,3,Kindred,203,0
Galio,3,Zeri,221,0
Galio,3,Jinx,222,0
Galio,3,Tahm Kench,223,0
Galio,3,Viego,234,0
Galio,3,Senna,235,0
Galio,3,Lucian,236,0
Galio,3,Zed,238,0
Galio,3,Kled,240,0
Galio,3,Ekko,245,0
Galio,3,Qiyana,246,0
Galio,3,Vi,254,0
Galio,3,Aatrox,266,0
Galio,3,Nami,267,0
Galio,3,Azir,268,0
Galio,3,Yuumi,350,0
Galio,3,Samira,360,0
Galio,3,Thresh,412,0
Galio,3,Illaoi,420,0
Galio,3,Rek'Sai,421,0
Galio,3,Ivern,427,0
Galio,3,Kalista,429,0
Galio,3,Bard,432,0
Galio,3,Rakan,497,0
Galio,3,Xayah,498,0
Galio,3,Ornn,516,0
Galio,3,Sylas,517,0
Galio,3,Neeko,518,0
Galio,3,Aphelios,523,0
Galio,3,Rell,526,0
Galio,3,Pyke,555,0
Galio,3,Vex,711,0
Galio,3,Yone,777,0
Galio,3,Sett,875,0
Galio,3,Lillia,876,0
Galio,3,Gwen,887,0
Galio,3,Renata Glasc,888,0
Twisted Fate,4,Xin Zhao,5,0
Twisted Fate,4,Urgot,6,0
Twisted Fate,4,LeBlanc,7,0
Twisted Fate,4,Vladimir,8,0
Twisted Fate,4,Fiddlesticks,9,0
