,champion1,id1,champion2,id2,combo
295,Olaf,2,Aatrox,266,0
296,Olaf,2,Nami,267,0
297,Olaf,2,Azir,268,0
298,Olaf,2,Yuumi,350,0
299,Olaf,2,Samira,360,0
300,Olaf,2,Thresh,412,0
301,Olaf,2,Illaoi,420,0
302,Olaf,2,Rek'Sai,421,0
303,Olaf,2,Ivern,427,0
304,Olaf,2,Kalista,429,0
305,Olaf,2,Bard,432,0
306,Olaf,2,Rakan,497,0
307,Olaf,2,Xayah,498,0
308,Olaf,2,Ornn,516,0
309,Olaf,2,Sylas,517,0
310,Olaf,2,Neeko,518,0
311,Olaf,2,Aphelios,523,0
312,Olaf,2,Rell,526,0
313,Olaf,2,Pyke,555,0
314,Olaf,2,Vex,711,0
315,Olaf,2,Yone,777,0
316,Olaf,2,Sett,875,0
317,Olaf,2,Lillia,876,0
318,Olaf,2,Gwen,887,0
319,Olaf,2,Renata Glasc,888,0
323,Galio,3,Twisted Fate,4,0
324,Galio,3,Xin Zhao,5,0
325,Galio,3,Urgot,6,0
326,Galio,3,LeBlanc,7,0
327,Galio,3,Vladimir,8,0
328,Galio,3,Fiddlesticks,9,0
329,Galio,3,Kayle,10,0
330,Galio,3,Master Yi,11,0
331,Galio,3,Alistar,12,0
332,Galio,3,Ryze,13,0
333,Galio,3,Sion,14,0
334,Galio,3,Sivir,15,0
335,Galio,3,Soraka,16,0
336,Galio,3,Teemo,17,0
337,Galio,3,Tristana,18,0
338,Galio,3,Warwick,19,0
339,Galio,3,Nunu & Willump,20,0
340,Galio,3,Miss Fortune,21,0
341,Galio,3,Ashe,22,0
342,Galio,3,Tryndamere,23,0
343,Galio,3,Jax,24,0
344,Galio,3,Morgana,25,0
345,Galio,3,Zilean,26,0
346,Galio,3,Singed,27,0
347,Galio,3,Evelynn,28,0
348,Galio,3,Twitch,29,0
349,Galio,3,Karthus,30,0
350,Galio,3,Cho'Gath,31,0
351,Galio,3,Amumu,32,0
352,Galio,3,Rammus,33,0
353,Galio,3,Anivia,34,0
354,Galio,3,Shaco,35,0
355,Galio,3,Dr. Mundo,36,0
356,Galio,3,Sona,37,0
357,Galio,3,Kassadin,38,0
358,Galio,3,Irelia,39,0
359,Galio,3,Janna,40,0
360,Galio,3,Gangplank,41,0
361,Galio,3,Corki,42,0
362,Galio,3,Karma,43,0
363,Galio,3,Taric,44,0
364,Galio,3,Veigar,45,0
365,Galio,3,Trundle,48,0
366,Galio,3,Swain,50,0
367,Galio,3,Caitlyn,51,0
368,Galio,3,Blitzcrank,53,0
369,Galio,3,Malphite,54,0
370,Galio,3,Katarina,55,0
371,Galio,3,Nocturne,56,0
372,Galio,3,Maokai,57,0
373,Galio,3,Renekton,58,0
374,Galio,3,Jarvan IV,59,0
375,Galio,3,Elise,60,0
376,Galio,3,Orianna,61,0
377,Galio,3,Wukong,62,0
378,Galio,3,Brand,63,0
379,Galio,3,Lee Sin,64,0
380,Galio,3,Vayne,67,0
381,Galio,3,Rumble,68,0
382,Galio,3,Cassiopeia,69,0
383,Galio,3,Skarner,72,0
384,Galio,3,Heimerdinger,74,0
385,Galio,3,Nasus,75,0
386,Galio,3,Nidalee,76,0
387,Galio,3,Udyr,77,0
388,Galio,3,Poppy,78,0
389,Galio,3,Gragas,79,0
390,Galio,3,Pantheon,80,0
391,Galio,3,Ezreal,81,0
392,Galio,3,Mordekaiser,82,0
393,Galio,3,Yorick,83,0
394,Galio,3,Akali,84,0
395,Galio,3,Kennen,85,0
396,Galio,3,Garen,86,0
397,Galio,3,Leona,89,0
398,Galio,3,Malzahar,90,0
399,Galio,3,Talon,91,0
400,Galio,3,Riven,92,0
401,Galio,3,Kog'Maw,96,0
402,Galio,3,Shen,98,0
403,Galio,3,Lux,99,0
404,Galio,3,Xerath,101,0
405,Galio,3,Shyvana,102,0
406,Galio,3,Ahri,103,0
407,Galio,3,Graves,104,0
408,Galio,3,Fizz,105,0
409,Galio,3,Volibear,106,0
410,Galio,3,Rengar,107,0
411,Galio,3,Varus,110,0
412,Galio,3,Nautilus,111,0
413,Galio,3,Viktor,112,0
414,Galio,3,Sejuani,113,0
415,Galio,3,Fiora,114,0
416,Galio,3,Ziggs,115,0
417,Galio,3,Lulu,117,0
418,Galio,3,Draven,119,0
419,Galio,3,Hecarim,120,0
420,Galio,3,Kha'Zix,121,0
421,Galio,3,Darius,122,0
422,Galio,3,Jayce,126,0
423,Galio,3,Lissandra,127,0
424,Galio,3,Diana,131,0
425,Galio,3,Quinn,133,0
426,Galio,3,Syndra,134,0
427,Galio,3,Aurelion Sol,136,0
428,Galio,3,Kayn,141,0
429,Galio,3,Zoe,142,0
430,Galio,3,Zyra,143,0
431,Galio,3,Kai'Sa,145,0
432,Galio,3,Seraphine,147,0
433,Galio,3,Gnar,150,0
434,Galio,3,Zac,154,0
435,Galio,3,Yasuo,157,0
436,Galio,3,Vel'Koz,161,0
437,Galio,3,Taliyah,163,0
438,Galio,3,Camille,164,0
439,Galio,3,Akshan,166,0
440,Galio,3,Bel'Veth,200,0
441,Galio,3,Braum,201,0
442,Galio,3,Jhin,202,0
443,Galio,3,Kindred,203,0
444,Galio,3,Zeri,221,0
445,Galio,3,Jinx,222,0
446,Galio,3,Tahm Kench,223,0
447,Galio,3,Viego,234,0
448,Galio,3,Senna,235,0
449,Galio,3,Lucian,236,0
450,Galio,3,Zed,238,0
451,Galio,3,Kled,240,0
452,Galio,3,Ekko,245,0
453,Galio,3,Qiyana,246,0
454,Galio,3,Vi,254,0
455,Galio,3,Aatrox,266,0
456,Galio,3,Nami,267,0
457,Galio,3,Azir,268,0
458,Galio,3,Yuumi,350,0
459,Galio,3,Samira,360,0
460,Galio,3,Thresh,412,0
461,Galio,3,Illaoi,420,0
462,Galio,3,Rek'Sai,421,0
463,Galio,3,Ivern,427,0
464,Galio,3,Kalista,429,0
465,Galio,3,Bard,432,0
466,Galio,3,Rakan,497,0
467,Galio,3,Xayah,498,0
468,Galio,3,Ornn,516,0
469,Galio,3,Sylas,517,0
470,Galio,3,Neeko,518,0
471,Galio,3,Aphelios,523,0
472,Galio,3,Rell,526,0
473,Galio,3,Pyke,555,0
474,Galio,3,Vex,711,0
475,Galio,3,Yone,777,0
476,Galio,3,Sett,875,0
477,Galio,3,Lillia,876,0
478,Galio,3,Gwen,887,0
479,Galio,3,Renata Glasc,888,0
484,Twisted Fate,4,Xin Zhao,5,0
485,Twisted Fate,4,Urgot,6,0
486,Twisted Fate,4,LeBlanc,7,0
487,Twisted Fate,4,Vladimir,8,0
488,Twisted Fate,4,Fiddlesticks,9,0
489,Twisted Fate,4,Kayle,10,0
490,Twisted Fate,4,Master Yi,11,0
491,Twisted Fate,4,Alistar,12,0
492,Twisted Fate,4,Ryze,13,0
493,Twisted Fate,4,Sion,14,0
494,Twisted Fate,4,Sivir,15,0
495,Twisted Fate,4,Soraka,16,0
496,Twisted Fate,4,Teemo,17,0
497,Twisted Fate,4,Tristana,18,0
498,Twisted Fate,4,Warwick,19,0
499,Twisted Fate,4,Nunu & Willump,20,0
500,Twisted Fate,4,Miss Fortune,21,0
501,Twisted Fate,4,Ashe,22,0
502,Twisted Fate,4,Tryndamere,23,0
503,Twisted Fate,4,Jax,24,0
504,Twisted Fate,4,Morgana,25,0
505,Twisted Fate,4,Zilean,26,0
506,Twisted Fate,4,Singed,27,0
507,Twisted Fate,4,Evelynn,28,0
508,Twisted Fate,4,Twitch,29,0
509,Twisted Fate,4,Karthus,30,0
510,Twisted Fate,4,Cho'Gath,31,0
511,Twisted Fate,4,Amumu,32,0
512,Twisted Fate,4,Rammus,33,0
513,Twisted Fate,4,Anivia,34,0
514,Twisted Fate,4,Shaco,35,0
515,Twisted Fate,4,Dr. Mundo,36,0
516,Twisted Fate,4,Sona,37,0
517,Twisted Fate,4,Kassadin,38,0
518,Twisted Fate,4,Irelia,39,0
519,Twisted Fate,4,Janna,40,0
520,Twisted Fate,4,Gangplank,41,0
521,Twisted Fate,4,Corki,42,0
522,Twisted Fate,4,Karma,43,0
523,Twisted Fate,4,Taric,44,0
524,Twisted Fate,4,Veigar,45,0
525,Twisted Fate,4,Trundle,48,0
526,Twisted Fate,4,Swain,50,0
527,Twisted Fate,4,Caitlyn,51,0
528,Twisted Fate,4,Blitzcrank,53,0
529,Twisted Fate,4,Malphite,54,0
530,Twisted Fate,4,Katarina,55,0
531,Twisted Fate,4,Nocturne,56,0
532,Twisted Fate,4,Maokai,57,0
533,Twisted Fate,4,Renekton,58,0
534,Twisted Fate,4,Jarvan IV,59,0
535,Twisted Fate,4,Elise,60,0
536,Twisted Fate,4,Orianna,61,0
537,Twisted Fate,4,Wukong,62,0
538,Twisted Fate,4,Brand,63,0
539,Twisted Fate,4,Lee Sin,64,0
540,Twisted Fate,4,Vayne,67,0
541,Twisted Fate,4,Rumble,68,0
542,Twisted Fate,4,Cassiopeia,69,0
543,Twisted Fate,4,Skarner,72,0
544,Twisted Fate,4,Heimerdinger,74,0
545,Twisted Fate,4,Nasus,75,0
546,Twisted Fate,4,Nidalee,76,0
547,Twisted Fate,4,Udyr,77,0
548,Twisted Fate,4,Poppy,78,0
549,Twisted Fate,4,Gragas,79,0
550,Twisted Fate,4,Pantheon,80,0
551,Twisted Fate,4,Ezreal,81,0
552,Twisted Fate,4,Mordekaiser,82,0
553,Twisted Fate,4,Yorick,83,0
554,Twisted Fate,4,Akali,84,0
555,Twisted Fate,4,Kennen,85,0
556,Twisted Fate,4,Garen,86,0
557,Twisted Fate,4,Leona,89,0
558,Twisted Fate,4,Malzahar,90,0
559,Twisted Fate,4,Talon,91,0
560,Twisted Fate,4,Riven,92,0
561,Twisted Fate,4,Kog'Maw,96,0
562,Twisted Fate,4,Shen,98,0
563,Twisted Fate,4,Lux,99,0
564,Twisted Fate,4,Xerath,101,0
565,Twisted Fate,4,Shyvana,102,0
566,Twisted Fate,4,Ahri,103,0
567,Twisted Fate,4,Graves,104,0
568,Twisted Fate,4,Fizz,105,0
569,Twisted Fate,4,Volibear,106,0
570,Twisted Fate,4,Rengar,107,0
571,Twisted Fate,4,Varus,110,0
572,Twisted Fate,4,Nautilus,111,0
573,Twisted Fate,4,Viktor,112,0
574,Twisted Fate,4,Sejuani,113,0
575,Twisted Fate,4,Fiora,114,0
