id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
81,Ezreal,48.09,50.16,38.94,53.35,48.12,45.56,9,5,4,3,92,40,7197,3463,5,3,7307,3514
82,Mordekaiser,49.03,48.66,50.82,53.35,47.86,45.56,1644,800,183,93,124,63,3,2,4,2,1958,960
83,Yorick,48.21,47.84,38.94,53.35,47.86,45.56,370,177,5,2,14,8,1,1,0,0,390,188
84,Akali,48.77,47.1,38.94,49.65,47.86,45.56,775,365,0,0,1573,781,2,0,2,1,2352,1147
85,Kennen,48.05,47.52,38.94,53.35,47.86,45.56,505,240,0,0,98,53,3,1,10,2,616,296
86,Garen,51.76,50.53,38.94,53.35,47.86,45.56,952,481,20,17,127,70,8,5,0,0,1107,573
89,Leona,45.68,50.16,38.94,53.35,47.86,45.75,2,1,1,0,1,1,2,0,977,447,983,449
90,Malzahar,51.01,50.16,38.94,50.78,47.86,45.56,19,13,1,0,514,261,2,0,7,3,543,277
91,Talon,50.46,50.16,50.46,50.12,47.86,45.56,33,20,1076,543,838,420,1,1,4,1,1952,985
92,Riven,53.46,53.82,38.94,53.35,47.86,45.56,1388,747,17,8,108,52,2,2,2,2,1517,811
96,Kog'Maw,51.82,50.16,38.94,53.35,52.82,45.56,8,4,0,0,86,36,1028,543,3,0,1125,583
98,Shen,54.89,54.96,38.94,53.35,47.86,45.56,1199,659,5,2,29,14,5,3,30,18,1268,696
99,Lux,45.82,50.16,38.94,47.44,47.86,44.15,7,1,1,0,1035,491,80,39,992,438,2115,969
101,Xerath,48.36,50.16,38.94,49.86,47.86,46.85,1,1,0,0,710,354,85,40,666,312,1462,707
102,Shyvana,48.73,48.76,49.21,53.35,47.86,45.56,322,157,571,281,12,4,0,0,2,0,907,442
103,Ahri,49.3,50.16,38.94,49.38,47.86,45.56,19,7,2,1,3074,1518,14,8,35,16,3144,1550
104,Graves,50,49.41,50.44,53.35,47.86,45.56,170,84,2373,1197,120,52,9,3,0,0,2672,1336
105,Fizz,50.53,50.16,38.94,51.2,47.86,45.56,12,4,3,1,543,278,4,2,2,0,564,285
106,Volibear,49.93,48.02,50.76,53.35,47.86,45.56,1062,510,2427,1232,16,9,2,0,4,2,3511,1753
107,Rengar,52.72,55.04,52.18,53.35,47.86,45.56,238,131,1374,717,1,1,19,12,3,1,1635,862
110,Varus,46.18,50.16,38.94,53.35,46.1,45.56,7,2,0,0,80,38,538,248,3,2,628,290
111,Nautilus,49.59,50.16,38.94,53.35,47.86,49.72,3,0,6,2,2,2,8,2,2653,1319,2672,1325
112,Viktor,49.53,50.16,38.94,49.65,47.86,45.56,96,36,0,0,2729,1355,54,35,0,0,2879,1426
113,Sejuani,48.78,49.89,47.4,53.35,47.86,45.56,880,439,500,237,48,25,8,3,34,13,1470,717
114,Fiora,49.27,49.3,38.94,53.35,47.86,45.56,2142,1056,0,0,38,18,0,0,0,0,2180,1074
115,Ziggs,44.28,50.16,38.94,46.12,42.79,45.56,6,2,0,0,245,113,409,175,22,12,682,302
117,Lulu,50.26,50.16,38.94,53.35,47.86,50.21,33,14,0,0,47,30,6,1,3408,1711,3494,1756
119,Draven,49.9,50.16,38.94,53.35,49.76,45.56,39,18,3,3,44,26,2462,1225,1,0,2549,1272
120,Hecarim,49.49,50.16,49.77,53.35,47.86,45.56,6,1,870,433,0,0,0,0,1,0,877,434
121,Kha'Zix,53.45,50.16,53.5,53.35,47.86,45.56,5,2,1830,979,7,3,0,0,1,1,1843,985
122,Darius,50.06,50.21,38.94,53.35,47.86,45.56,2376,1193,68,34,39,17,5,2,3,1,2491,1247
126,Jayce,48.89,48.79,38.94,53.35,47.86,45.56,912,445,1,1,115,56,7,4,0,0,1035,506
127,Lissandra,48.06,50.16,38.94,47.68,47.86,45.56,43,26,0,0,1229,586,4,4,14,4,1290,620
131,Diana,46.38,50.16,46.15,47.56,47.86,45.56,18,11,2869,1324,389,185,0,0,1,0,3277,1520
133,Quinn,50.96,50.61,38.94,53.35,47.86,45.56,330,167,8,3,19,9,4,4,2,2,363,185
134,Syndra,44.43,50.16,38.94,43.59,47.86,45.56,7,4,0,0,569,248,65,31,68,32,709,315
136,Aurelion Sol,45.24,50.16,38.94,45.41,47.86,45.56,20,9,0,0,229,104,0,0,3,1,252,114
141,Kayn,55.75,50.16,55.92,53.35,47.86,45.56,34,11,3108,1738,14,10,1,1,0,0,3157,1760
142,Zoe,49.64,50.16,38.94,50.13,47.86,45.56,6,3,1,0,1195,599,11,4,34,13,1247,619
143,Zyra,47.47,50.16,38.94,53.35,47.86,48.23,2,2,12,5,26,10,15,5,537,259,592,281
145,Kai'Sa,49.29,50.16,38.94,53.35,49.24,45.56,2,1,3,1,44,24,3761,1852,0,0,3810,1878
147,Seraphine,53.32,50.16,38.94,54.07,53.45,52.95,11,5,2,0,934,505,1828,977,2032,1076,4807,2563
150,Gnar,49.22,49.14,38.94,53.35,47.86,45.56,2145,1054,0,0,14,9,5,1,2,2,2166,1066
154,Zac,50.61,50.16,50.53,53.35,47.86,45.56,161,88,1508,762,79,38,2,0,52,24,1802,912
157,Yasuo,47.51,47.2,38.94,46.56,51.2,45.56,572,270,6,3,2397,1116,627,321,6,4,3608,1714
161,Vel'Koz,45.58,50.16,38.94,46.26,47.86,44.66,10,6,0,0,374,173,76,34,365,163,825,376
163,Taliyah,51.72,50.16,48.89,55.48,47.86,45.56,10,7,1174,574,748,415,31,15,44,27,2007,1038
164,Camille,50.31,50.2,38.94,53.35,47.86,45.56,2004,1006,8,2,55,32,2,0,24,13,2093,1053
166,Akshan,49.97,47.8,38.94,52.46,47.86,45.56,682,326,4,1,772,405,43,18,4,2,1505,752
200,Bel'Veth,46.28,50.16,46.36,53.35,47.86,45.56,59,30,2127,986,45,17,12,6,2,0,2245,1039
201,Braum,52.98,50.16,38.94,53.35,47.86,53.1,4,2,0,0,3,1,0,0,580,308,587,311
202,Jhin,50.5,50.16,38.94,53.35,50.45,45.56,1,0,2,1,24,15,4379,2209,2,1,4408,2226
203,Kindred,50.36,50.16,50.18,53.35,47.86,45.56,17,10,1696,851,16,11,51,25,1,0,1781,897
221,Zeri,52.13,50.16,38.94,48.73,52.54,45.56,90,47,10,4,474,231,4357,2289,30,15,4961,2586
222,Jinx,50.91,50.16,38.94,53.35,50.82,45.56,2,1,3,3,5,3,2068,1051,0,0,2078,1058
223,Tahm Kench,51.84,52.11,38.94,53.35,51.42,52.11,639,333,1,1,14,6,424,218,332,173,1410,731
234,Viego,49.04,50.16,48.89,53.35,47.86,45.56,104,58,3422,1673,93,40,7,7,12,6,3638,1784
235,Senna,49.14,50.16,38.94,53.35,45.3,49.33,0,0,0,0,7,3,181,82,3815,1882,4003,1967
236,Lucian,49.27,50.16,38.94,46.59,49.38,45.56,94,50,0,0,249,116,2677,1322,0,0,3020,1488
238,Zed,49.98,50.16,50.71,49.36,47.86,45.56,47,26,771,391,1645,812,8,4,4,4,2475,1237
240,Kled,49.28,50,38.94,53.35,47.86,45.56,368,184,0,0,46,21,3,1,1,0,418,206
245,Ekko,49.25,50.16,50.57,46.27,47.86,45.56,25,12,1580,799,657,304,0,0,4,1,2266,1116
246,Qiyana,56.14,50.16,54.09,57.7,47.86,45.56,154,87,734,397,1052,607,8,5,13,5,1961,1101
254,Vi,48.91,50.16,49.03,53.35,47.86,45.56,7,2,667,327,8,6,0,0,7,2,689,337
266,Aatrox,47.87,47.69,38.94,53.35,47.86,45.56,2512,1198,20,7,108,59,7,3,0,0,2647,1267
267,Nami,51.32,50.16,38.94,53.35,47.86,51.35,1,0,0,0,3,1,0,0,3221,1654,3225,1655
268,Azir,51.54,51.74,38.94,51.45,47.86,45.56,172,89,0,0,1658,853,23,13,2,1,1855,956
350,Yuumi,53.73,50.16,38.94,53.35,47.86,53.72,5,3,0,0,3,2,2,1,3645,1958,3655,1964
360,Samira,48.92,50.16,38.94,53.35,48.82,45.56,11,6,0,0,28,15,1948,951,0,0,1987,972
412,Thresh,50.29,50.16,38.94,53.35,47.86,50.29,3,1,0,0,1,1,2,1,1728,869,1734,872
420,Illaoi,45.93,45.7,38.94,53.35,47.86,45.56,523,239,0,0,29,15,0,0,1,0,553,254
421,Rek'Sai,47.85,50.16,47.93,53.35,47.86,45.56,6,1,989,474,3,2,1,1,0,0,999,478
427,Ivern,48.57,50.16,46.84,53.35,47.86,45.56,56,24,380,178,51,28,5,4,33,21,525,255
429,Kalista,47.9,50.16,38.94,53.35,47.9,45.56,36,14,0,0,41,23,2188,1048,2,1,2267,1086
432,Bard,50.62,50.16,38.94,53.35,47.86,50.25,17,15,0,0,14,6,6,3,1415,711,1452,735
497,Rakan,50.05,50.16,38.94,53.35,47.86,49.95,2,2,0,0,8,5,0,0,1862,930,1872,937
498,Xayah,48.04,50.16,38.94,53.35,47.99,45.56,0,0,0,0,7,4,1421,682,0,0,1428,686
516,Ornn,53.57,54.06,38.94,53.35,47.86,45.56,1798,972,5,2,93,41,14,11,11,3,1921,1029
517,Sylas,49.94,47.31,38.94,50.66,47.86,45.56,353,167,27,15,2860,1449,10,3,48,13,3298,1647
518,Neeko,47.83,50.16,38.94,45.92,47.86,45.56,66,32,5,2,294,135,22,11,73,40,460,220
523,Aphelios,52.28,50.16,38.94,53.35,52.28,45.56,1,0,1,0,2,2,1534,802,0,0,1538,804
526,Rell,54.39,50.16,38.94,53.35,47.86,54.08,28,16,0,0,1,1,0,0,392,212,421,229
555,Pyke,46.96,50.16,38.94,53.35,47.86,46.79,16,5,0,0,119,59,35,20,2524,1181,2694,1265
711,Vex,49.09,50.16,38.94,49.13,47.86,45.56,7,3,0,0,574,282,5,3,21,10,607,298
777,Yone,49.86,48.98,38.94,50.43,47.86,45.56,1772,868,42,23,2570,1296,48,23,4,2,4436,2212
875,Sett,48.78,49.95,38.94,53.35,47.86,45.56,1053,526,9,4,124,58,34,14,135,59,1355,661
876,Lillia,49.88,53.07,48.85,53.35,47.86,45.56,522,277,1605,784,22,10,2,1,2,2,2153,1074
887,Gwen,51.17,51.42,38.94,53.35,47.86,45.56,1023,526,130,67,37,15,1,1,1,1,1192,610
888,Renata Glasc,53.13,50.16,38.94,53.35,47.86,53.08,2,2,0,0,3,1,5,4,3444,1828,3454,1835
