id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
57,Maokai,52.99,46.15,100.0,0.0,14.29,57.58,26.0,12.0,1.0,1.0,1.0,0.0,7.0,1.0,99.0,57.0,134.0,71.0
58,Renekton,55.39,55.68,0.0,54.9,0.0,0.0,361.0,201.0,0.0,0.0,102.0,56.0,1.0,0.0,0.0,0.0,464.0,257.0
59,Jarvan IV,53.85,12.5,55.46,50.0,33.33,60.0,8.0,1.0,229.0,127.0,2.0,1.0,3.0,1.0,5.0,3.0,247.0,133.0
60,Elise,55.45,100.0,58.7,0.0,0.0,38.46,2.0,2.0,92.0,54.0,3.0,0.0,0.0,0.0,13.0,5.0,110.0,61.0
61,Orianna,46.11,33.33,0.0,45.75,75.0,100.0,3.0,1.0,0.0,0.0,365.0,167.0,4.0,3.0,1.0,1.0,373.0,172.0
62,Wukong,46.91,40.88,47.85,20.0,63.64,0.0,159.0,65.0,1118.0,535.0,5.0,1.0,11.0,7.0,3.0,0.0,1296.0,608.0
63,Brand,49.04,0.0,0.0,52.0,44.44,48.57,0.0,0.0,0.0,0.0,25.0,13.0,9.0,4.0,70.0,34.0,104.0,51.0
64,Lee Sin,50.34,45.45,50.25,53.33,58.82,57.14,22.0,10.0,1576.0,792.0,15.0,8.0,17.0,10.0,7.0,4.0,1637.0,824.0
67,Vayne,47.74,46.71,33.33,36.36,48.42,0.0,167.0,78.0,3.0,1.0,11.0,4.0,570.0,276.0,1.0,0.0,752.0,359.0
68,Rumble,53.52,52.63,48.78,57.75,0.0,30.0,190.0,100.0,41.0,20.0,142.0,82.0,0.0,0.0,10.0,3.0,383.0,205.0
69,Cassiopeia,50.51,52.0,0.0,50.29,48.98,0.0,75.0,39.0,0.0,0.0,171.0,86.0,49.0,24.0,0.0,0.0,295.0,149.0
72,Skarner,48.08,43.9,52.46,0.0,0.0,0.0,41.0,18.0,61.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,104.0,50.0
74,Heimerdinger,52.63,56.82,0.0,48.98,54.29,50.0,44.0,25.0,0.0,0.0,49.0,24.0,35.0,19.0,24.0,12.0,152.0,80.0
75,Nasus,46.75,46.51,14.29,62.5,50.0,0.0,129.0,60.0,7.0,1.0,24.0,15.0,6.0,3.0,3.0,0.0,169.0,79.0
76,Nidalee,56.62,57.14,56.52,100.0,100.0,0.0,7.0,4.0,805.0,455.0,2.0,2.0,1.0,1.0,1.0,0.0,816.0,462.0
77,Udyr,41.98,50.0,42.43,0.0,0.0,0.0,2.0,1.0,337.0,143.0,1.0,0.0,0.0,0.0,3.0,0.0,343.0,144.0
78,Poppy,52.71,56.94,49.0,58.33,66.67,47.37,216.0,123.0,249.0,122.0,12.0,7.0,3.0,2.0,19.0,9.0,499.0,263.0
79,Gragas,52.8,52.8,57.24,51.91,62.5,42.86,769.0,406.0,152.0,87.0,131.0,68.0,8.0,5.0,63.0,27.0,1123.0,593.0
80,Pantheon,50.85,58.46,66.67,55.06,33.33,29.69,130.0,76.0,6.0,4.0,89.0,49.0,6.0,2.0,64.0,19.0,295.0,150.0
81,Ezreal,43.63,22.22,0.0,36.36,43.92,0.0,9.0,2.0,2.0,0.0,22.0,8.0,2707.0,1189.0,8.0,0.0,2748.0,1199.0
82,Mordekaiser,46.99,48.58,34.78,46.43,0.0,0.0,422.0,205.0,46.0,16.0,28.0,13.0,2.0,0.0,0.0,0.0,498.0,234.0
83,Yorick,48.57,48.39,20.0,83.33,0.0,0.0,93.0,45.0,5.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,105.0,51.0
84,Akali,48.02,45.53,0.0,49.29,0.0,100.0,246.0,112.0,0.0,0.0,560.0,276.0,3.0,0.0,1.0,1.0,810.0,389.0
85,Kennen,55.37,52.79,0.0,64.86,50.0,83.33,197.0,104.0,0.0,0.0,37.0,24.0,2.0,1.0,6.0,5.0,242.0,134.0
86,Garen,47.58,49.35,22.22,38.78,33.33,100.0,308.0,152.0,9.0,2.0,49.0,19.0,3.0,1.0,3.0,3.0,372.0,177.0
89,Leona,45.94,0.0,0.0,0.0,0.0,46.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,164.0,357.0,164.0
90,Malzahar,41.13,33.33,0.0,41.67,0.0,0.0,3.0,1.0,0.0,0.0,120.0,50.0,0.0,0.0,1.0,0.0,124.0,51.0
91,Talon,44.13,46.15,41.44,48.21,0.0,0.0,13.0,6.0,374.0,155.0,251.0,121.0,1.0,0.0,0.0,0.0,639.0,282.0
92,Riven,46.39,46.85,0.0,45.45,0.0,0.0,476.0,223.0,1.0,0.0,33.0,15.0,2.0,0.0,1.0,0.0,513.0,238.0
96,Kog'Maw,50.8,0.0,0.0,35.0,52.25,0.0,1.0,0.0,1.0,0.0,20.0,7.0,289.0,151.0,0.0,0.0,311.0,158.0
98,Shen,57.88,58.07,0.0,77.78,100.0,40.0,384.0,223.0,2.0,0.0,9.0,7.0,1.0,1.0,10.0,4.0,406.0,235.0
99,Lux,53.97,100.0,0.0,55.09,56.25,52.17,2.0,2.0,0.0,0.0,216.0,119.0,16.0,9.0,207.0,108.0,441.0,238.0
