id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
516,Ornn,48.63,48.32,20.0,52.4,57.14,57.14,3063.0,1480.0,5.0,1.0,208,109,14.0,8.0,21.0,12.0,3311.0,1610.0
517,Sylas,52.9,54.56,51.61,52.94,38.1,41.3,691.0,377.0,31.0,16.0,5910,3129,21.0,8.0,92.0,38.0,6745.0,3568.0
518,Neeko,51.67,50.86,75.0,52.6,45.95,49.24,116.0,59.0,4.0,3.0,578,304,37.0,17.0,132.0,65.0,867.0,448.0
523,Aphelios,46.03,50.0,0.0,42.86,46.04,0.0,4.0,2.0,0.0,0.0,14,6,3191.0,1469.0,0.0,0.0,3209.0,1477.0
526,Rell,51.49,34.48,0.0,0.0,40.0,52.22,29.0,10.0,0.0,0.0,1,0,5.0,2.0,835.0,436.0,870.0,448.0
555,Pyke,49.27,45.95,0.0,54.74,53.19,48.91,37.0,17.0,0.0,0.0,274,150,47.0,25.0,4416.0,2160.0,4774.0,2352.0
711,Vex,49.48,66.67,0.0,49.23,55.56,51.85,6.0,4.0,0.0,0.0,914,450,9.0,5.0,27.0,14.0,956.0,473.0
777,Yone,49.38,49.16,43.18,49.49,56.92,33.33,3216.0,1581.0,44.0,19.0,5147,2547,65.0,37.0,3.0,1.0,8475.0,4185.0
875,Sett,48.38,48.13,27.27,56.86,45.28,45.62,1845.0,888.0,11.0,3.0,204,116,53.0,24.0,320.0,146.0,2433.0,1177.0
876,Lillia,48.95,50.96,48.61,36.59,100.0,0.0,677.0,345.0,2526.0,1228.0,41,15,1.0,1.0,1.0,0.0,3246.0,1589.0
887,Gwen,45.98,46.22,45.45,41.67,0.0,0.0,2209.0,1021.0,242.0,110.0,48,20,3.0,0.0,1.0,0.0,2503.0,1151.0
888,Renata Glasc,52.14,25.0,0.0,0.0,33.33,52.2,4.0,1.0,0.0,0.0,3,0,6.0,2.0,6801.0,3550.0,6814.0,3553.0
